art,fem,mar,kid5,phd,ment
0,Men,Married,1,2.76,3
0,Men,Married,0,4.54,10
0,Men,Married,0,1.6799999,6
0,Men,Married,1,2.2,0
0,Women,Single,0,1.005,0
0,Men,Single,0,2.1199999,2
0,Women,Married,2,2.5799999,0
0,Women,Married,0,1.79,1
0,Men,Single,0,4.29,2
0,Women,Married,0,1.28,4
0,Men,Married,2,2.5799999,5
0,Men,Married,2,2.1199999,0
0,Men,Married,1,2.21,1
0,Men,Married,1,2.26,5
0,Women,Single,0,3.21,5
0,Women,Single,0,2.0999999,2
0,Women,Married,1,3.54,1
0,Men,Married,1,3.4000001,18
0,Men,Married,0,2.21,6
0,Men,Married,0,2.21,19
0,Men,Married,2,.92000002,1
0,Women,Single,0,4.29,35
0,Men,Married,2,3.1500001,6
0,Men,Married,0,4.29,19
0,Men,Married,1,2.51,8
0,Men,Married,1,4.29,1
0,Women,Married,0,2.76,0
0,Men,Married,0,1.42,3
0,Men,Married,0,2.21,19
0,Men,Single,0,4.1399999,5
0,Men,Married,0,1.52,7
0,Men,Single,0,4.6199999,8
0,Women,Single,0,3.6199999,7
0,Women,Married,2,3.75,4
0,Men,Married,0,4.29,8
0,Women,Single,0,3.75,5
0,Men,Married,1,2.0999999,0
0,Men,Married,2,1.4,7
0,Women,Married,0,3.1900001,4
0,Men,Married,2,1.8099999,1
0,Men,Married,1,3.1500001,2
0,Women,Married,0,3.75,7
0,Women,Single,0,2.05,6
0,Men,Married,3,2.21,3
0,Women,Married,2,3.3599999,2
0,Women,Married,0,3.47,11
0,Women,Single,0,2.1199999,0
0,Women,Married,1,3.3599999,2
0,Men,Married,0,2.54,5
0,Men,Married,2,2.1500001,4
0,Men,Married,1,4.54,3
0,Men,Married,0,1.6799999,4
0,Women,Married,1,2.55,0
0,Women,Single,0,2.1199999,11
0,Men,Married,1,3.47,2
0,Women,Married,0,3.47,1
0,Women,Single,0,3.3599999,9
0,Men,Married,1,2.1199999,10
0,Women,Single,0,2.0999999,1
0,Women,Single,0,4.29,1
0,Men,Married,1,2.8599999,13
0,Women,Married,1,4.29,9
0,Men,Married,0,3.21,2
0,Men,Single,0,2.0999999,0
0,Women,Married,0,1.8099999,5
0,Women,Single,0,2.52,2
0,Men,Married,1,3.3599999,23
0,Women,Married,0,4.54,4
0,Women,Married,1,4.29,4
0,Women,Single,0,2.1199999,9
0,Men,Married,2,4.6199999,30
0,Women,Married,1,3.5899999,14
0,Women,Single,0,3.5899999,4
0,Men,Married,3,2.8599999,1
0,Women,Single,0,1.505,3
0,Women,Married,1,2.5,0
0,Women,Married,0,4.6199999,0
0,Men,Single,0,2.5,0
0,Women,Married,1,3.3599999,3
0,Women,Single,0,2,2
0,Women,Married,2,3.4100001,5
0,Men,Married,0,2.0999999,0
0,Women,Single,0,2,2
0,Men,Married,0,3.3599999,2
0,Men,Married,3,3.5899999,7
0,Men,Single,0,2.1400001,2
0,Women,Married,0,3.5899999,12
0,Women,Single,0,2.3900001,10
0,Men,Married,3,4.54,11
0,Men,Single,0,2.96,2
0,Men,Married,1,2.21,5
0,Men,Married,2,3.6900001,5
0,Women,Married,0,1.78,1
0,Women,Single,0,2.8599999,11
0,Men,Married,0,2.8599999,8
0,Women,Married,0,2.5799999,3
0,Women,Single,0,3.75,1
0,Women,Married,1,1.22,11
0,Women,Single,0,2.0999999,9
0,Women,Single,0,3.5899999,18
0,Women,Single,0,3.54,5
0,Women,Single,0,2.8599999,16
0,Women,Married,0,1.86,6
0,Men,Married,0,2.96,0
0,Women,Married,0,3.6900001,7
0,Women,Married,0,3.6900001,2
0,Women,Married,0,4.29,1
0,Women,Single,0,2.52,1
0,Women,Single,0,1.76,10
0,Men,Married,2,2.3199999,2
0,Women,Single,0,3.6900001,2
0,Women,Single,0,3.75,14
0,Women,Single,0,4.29,5
0,Women,Married,2,4.54,6
0,Men,Married,1,2.0999999,0
0,Women,Married,1,2.54,0
0,Men,Married,1,2.21,19
0,Men,Single,0,4.54,8
0,Men,Married,1,2.0999999,12
0,Men,Single,0,2.26,5
0,Women,Married,1,4.6199999,15
0,Women,Single,0,2.76,4
0,Women,Single,0,4.29,12
0,Women,Single,0,.755,0
0,Women,Married,0,1.83,2
0,Women,Single,0,1.79,0
0,Women,Married,1,4.29,6
0,Women,Single,0,2.5,0
0,Men,Married,0,2.1400001,1
0,Men,Married,2,3.4000001,13
0,Women,Single,0,2.8699999,15
0,Women,Married,0,2.96,0
0,Women,Married,2,3.1900001,0
0,Men,Married,1,3.6900001,16
0,Women,Married,2,1.255,0
0,Men,Married,2,4.1399999,12
0,Men,Married,1,2.3900001,5
0,Men,Married,2,3.9200001,2
0,Women,Single,0,2.96,4
0,Women,Married,0,2.1199999,2
0,Women,Married,2,2.1199999,1
0,Women,Married,0,2.6099999,3
0,Men,Single,0,4.29,0
0,Men,Married,3,2.8599999,7
0,Women,Married,0,2.3900001,0
0,Men,Married,2,3.3399999,1
0,Women,Single,0,3.6199999,8
0,Women,Married,1,3.5899999,8
0,Men,Married,2,4.54,1
0,Women,Married,0,3.5899999,1
0,Men,Single,0,4.29,9
0,Men,Married,0,1.52,4
0,Men,Married,0,4.29,6
0,Women,Married,0,4.6199999,5
0,Men,Married,1,4.29,13
0,Men,Married,0,2.51,3
0,Men,Single,0,2.8599999,3
0,Women,Married,0,2.96,8
0,Women,Married,0,3.6900001,3
0,Women,Married,0,3.47,2
0,Men,Married,2,4.29,15
0,Men,Single,0,4.29,0
0,Women,Single,0,3.9200001,1
0,Women,Married,0,2,6
0,Men,Married,0,2.3199999,4
0,Women,Married,1,2,9
0,Men,Married,1,1.6799999,27
0,Men,Single,0,3.47,0
0,Men,Married,0,2.2,2
0,Men,Married,1,2.1199999,10
0,Women,Single,0,1.4,14
0,Women,Single,0,3.3599999,3
0,Men,Married,2,4.29,24
0,Men,Married,1,2.0999999,0
0,Men,Single,0,4.29,5
0,Women,Single,0,4.29,0
0,Women,Single,0,2.8299999,1
0,Men,Married,1,2.5799999,6
0,Women,Married,0,3.1500001,7
0,Men,Single,0,4.29,2
0,Men,Single,0,2.96,0
0,Men,Married,2,3.5899999,5
0,Women,Single,0,2.3900001,15
0,Women,Single,0,1.25,2
0,Women,Single,0,2.76,1
0,Men,Married,0,3.4000001,13
0,Men,Single,0,4.29,7
0,Women,Single,0,3.6900001,4
0,Women,Married,0,2.8599999,13
0,Women,Single,0,4.29,3
0,Women,Single,0,4.1399999,2
0,Women,Married,0,2.3900001,2
0,Men,Married,2,2.8599999,11
0,Women,Married,0,2.96,7
0,Men,Single,0,3.5899999,8
0,Men,Married,1,1.8099999,5
0,Men,Married,1,4.29,2
0,Men,Married,1,2.0999999,0
0,Women,Single,0,3.1900001,0
0,Men,Married,2,4.29,2
0,Men,Married,0,4.29,2
0,Men,Married,2,3.4000001,0
0,Men,Single,0,4.29,35
0,Men,Married,2,2.3199999,5
0,Men,Single,0,1.6799999,5
0,Women,Married,0,2.5799999,0
0,Men,Married,0,3.6900001,3
0,Men,Married,2,3.4100001,7
0,Men,Married,0,2.3199999,0
0,Men,Married,1,3.6900001,8
1,Men,Married,0,2.54,4
1,Women,Married,1,1.76,4
1,Men,Married,1,4.29,13
1,Men,Married,3,2.0999999,0
1,Women,Married,1,3.0899999,12
1,Women,Single,0,3.3599999,6
1,Men,Married,0,2.0999999,0
1,Women,Married,1,3.75,7
1,Women,Single,0,2.1400001,6
1,Women,Single,0,4.29,22
1,Women,Single,0,2,2
1,Men,Married,0,2,4
1,Men,Married,1,2,16
1,Men,Married,1,2.6099999,6
1,Men,Married,0,4.25,12
1,Men,Single,0,2.3599999,14
1,Women,Married,0,4.29,11
1,Men,Married,0,2.0999999,2
1,Women,Married,0,2.8699999,5
1,Women,Married,0,3.47,3
1,Men,Married,0,1.78,1
1,Men,Married,0,4.1399999,15
1,Men,Married,3,4.29,0
1,Men,Single,0,4.29,3
1,Men,Single,0,1.8099999,10
1,Women,Single,0,2.3199999,15
1,Women,Married,0,2.6099999,7
1,Men,Married,0,1.6799999,34
1,Women,Married,0,3.1900001,3
1,Men,Married,1,3.5899999,5
1,Men,Married,0,2.5,0
1,Men,Single,0,3.4000001,6
1,Women,Single,0,2.26,4
1,Men,Single,0,3.4000001,12
1,Men,Married,1,3.9200001,0
1,Men,Married,2,2.96,0
1,Men,Single,0,4.29,15
1,Men,Married,0,4.29,11
1,Women,Married,1,3.3199999,24
1,Men,Single,0,1.86,15
1,Women,Single,0,2.8699999,6
1,Women,Married,0,1.64,22
1,Women,Single,0,2.25,7
1,Women,Single,0,2.0999999,8
1,Women,Married,0,4.29,6
1,Men,Married,0,1.75,3
1,Men,Married,0,2.96,8
1,Women,Single,0,2.25,4
1,Men,Married,2,4.25,20
1,Men,Married,2,2.5599999,22
1,Women,Single,0,3.1900001,11
1,Men,Married,2,3.9200001,2
1,Men,Married,1,1.78,77
1,Women,Married,0,3.4000001,14
1,Men,Married,1,1.74,4
1,Men,Single,0,4.29,6
1,Women,Single,0,2,6
1,Women,Married,0,2.8699999,18
1,Men,Married,0,4.29,6
1,Women,Married,0,3.1900001,2
1,Men,Married,1,1.22,1
1,Women,Married,2,3.54,17
1,Men,Married,1,4.29,1
1,Men,Married,1,4.6199999,3
1,Women,Single,0,2,6
1,Women,Single,0,3.5899999,3
1,Women,Single,0,3.1900001,6
1,Men,Married,1,3.4000001,2
1,Women,Married,0,1.28,2
1,Men,Married,2,1.74,4
1,Men,Married,1,2.26,1
1,Women,Married,0,3.5899999,5
1,Men,Married,1,4.6199999,16
1,Women,Single,0,1.4,2
1,Women,Single,0,.92000002,4
1,Men,Married,1,2.3900001,3
1,Men,Married,0,2.26,1
1,Men,Married,2,2.8599999,7
1,Men,Married,2,2.76,8
1,Men,Married,1,1.63,8
1,Men,Married,2,4.29,12
1,Women,Single,0,1.4,3
1,Women,Married,0,2.1199999,0
1,Women,Married,1,2.6099999,6
1,Men,Married,0,1.8,1
1,Women,Married,0,4.29,21
1,Women,Single,0,3.6900001,18
1,Women,Married,0,4.6199999,16
1,Men,Single,0,2.1500001,10
1,Men,Married,2,2.0999999,0
1,Women,Married,0,2,5
1,Women,Single,0,1.255,0
1,Men,Married,2,1.75,2
1,Women,Single,0,3.8499999,2
1,Men,Single,0,4.25,4
1,Women,Single,0,3.47,3
1,Men,Married,1,3.9200001,8
1,Men,Married,2,2.51,3
1,Women,Single,0,1.4,12
1,Men,Married,1,2,11
1,Women,Single,0,2,10
1,Men,Single,0,4.29,2
1,Men,Single,0,3.3599999,10
1,Men,Married,0,4.6199999,1
1,Men,Married,1,2.5599999,16
1,Men,Married,0,4.6199999,18
1,Men,Married,0,3.5899999,10
1,Men,Married,2,4.29,6
1,Women,Single,0,3.5899999,8
1,Women,Single,0,4.29,6
1,Men,Married,0,3.1900001,3
1,Women,Married,0,3.5899999,1
1,Women,Married,0,2.96,19
1,Women,Single,0,2.5799999,2
1,Men,Married,3,2.96,6
1,Women,Married,0,4.54,13
1,Men,Married,1,4.54,10
1,Men,Married,2,2.5,4
1,Men,Married,0,1.6799999,8
1,Men,Married,0,2.3199999,4
1,Women,Married,3,3.1900001,9
1,Women,Single,0,2.21,2
1,Women,Married,0,1.25,5
1,Men,Single,0,4.1399999,5
1,Women,Married,0,4.6199999,4
1,Women,Single,0,4.54,37
1,Women,Married,0,3.1500001,9
1,Men,Single,0,4.29,11
1,Women,Married,0,1.95,3
1,Men,Single,0,2,9
1,Women,Married,0,4.54,2
1,Women,Married,2,2.5799999,2
1,Women,Married,0,3.8499999,29
1,Men,Married,1,3.4100001,10
1,Women,Married,1,2.26,9
1,Women,Single,0,4.25,2
1,Men,Married,1,3.5899999,6
1,Women,Married,1,2.1199999,9
1,Men,Married,0,2.96,7
1,Women,Single,0,2.52,0
1,Women,Single,0,2.26,4
1,Women,Single,0,4.54,9
1,Women,Married,2,2.8599999,7
1,Men,Married,0,4.54,2
1,Men,Married,0,3.5899999,12
1,Women,Married,0,4.6199999,18
1,Men,Married,3,1.67,3
1,Men,Married,2,1.75,1
1,Women,Married,1,2.8299999,5
1,Men,Married,3,3.1500001,11
1,Men,Married,1,3.5899999,9
1,Women,Single,0,3.75,24
1,Women,Single,0,2.05,17
1,Men,Married,0,4.29,0
1,Men,Married,2,4.29,0
1,Women,Married,0,2.3900001,7
1,Men,Married,1,4.54,3
1,Men,Married,0,2.3199999,4
1,Women,Single,0,4.29,25
1,Men,Married,1,3.6900001,5
1,Men,Single,0,4.29,9
1,Men,Single,0,3.9200001,2
1,Men,Married,0,2.76,5
1,Men,Single,0,2.76,6
1,Men,Married,2,3.6199999,4
1,Men,Married,1,4.29,14
1,Men,Single,0,2.8699999,12
1,Women,Married,1,2.3900001,9
1,Men,Single,0,4.29,14
1,Men,Married,0,1.78,4
1,Men,Married,1,2.0999999,8
1,Women,Married,0,2.25,3
1,Men,Married,1,2.26,5
1,Men,Married,0,1.86,5
1,Women,Single,0,3.9200001,4
1,Men,Married,0,4.3400002,10
1,Women,Single,0,3.3599999,4
1,Women,Single,0,2.51,1
1,Women,Single,0,3.75,21
1,Men,Married,1,4.54,45
1,Women,Single,0,1.63,8
1,Women,Single,0,4.6199999,10
1,Men,Married,0,1.52,2
1,Men,Married,0,2.55,11
1,Women,Married,0,1.1799999,1
1,Women,Married,2,3.0899999,9
1,Women,Single,0,4.6199999,5
1,Women,Married,0,2.3199999,1
1,Men,Single,0,2.05,3
1,Men,Married,0,4.29,1
1,Men,Single,0,3.4000001,2
1,Men,Single,0,4.29,10
1,Men,Married,1,3.5899999,2
1,Men,Single,0,3.3599999,5
1,Women,Single,0,2.05,13
1,Women,Married,0,3.5899999,32
1,Women,Single,0,3.8499999,18
1,Men,Single,0,3.3599999,0
1,Women,Married,0,1.75,0
1,Women,Married,0,3.47,3
1,Men,Married,1,2.6099999,4
1,Men,Single,0,2.76,4
1,Men,Married,2,4.29,9
1,Women,Single,0,1.4,3
1,Women,Married,0,4.6199999,18
1,Men,Married,1,2.8599999,17
1,Men,Married,1,2.8599999,17
1,Men,Married,0,2.8599999,39
1,Men,Single,0,2,7
1,Women,Married,0,1.76,8
1,Men,Married,0,2.5,0
1,Women,Single,0,4.29,17
1,Men,Single,0,2.5599999,16
1,Women,Married,1,3.54,14
1,Women,Married,0,3.6900001,1
1,Men,Single,0,2.8699999,5
1,Women,Single,0,1.655,0
1,Men,Married,1,4.3400002,4
1,Men,Married,0,3.54,11
1,Men,Married,2,4.29,10
1,Men,Married,0,1.8099999,0
1,Women,Single,0,3.4000001,7
1,Men,Married,1,1.8099999,5
1,Women,Single,0,3.1900001,18
1,Women,Married,1,2.3199999,5
1,Women,Single,0,4.54,19
1,Men,Married,1,4.29,2
1,Men,Married,1,2.8599999,2
1,Women,Married,1,2.8599999,2
1,Men,Married,1,1.22,0
1,Men,Married,0,2.0999999,0
1,Men,Married,1,1.6799999,12
1,Women,Single,0,3.3599999,34
1,Women,Married,0,2.8699999,15
1,Men,Married,1,3.47,1
1,Men,Single,0,2.76,7
1,Men,Married,1,3.54,21
1,Women,Married,0,1.95,11
1,Men,Married,1,3.5899999,19
1,Women,Single,0,3.1900001,3
1,Women,Single,0,2.76,2
1,Women,Married,2,4.29,13
1,Men,Married,2,3.1900001,5
1,Men,Married,0,2.96,0
1,Men,Married,1,2.76,7
1,Women,Married,0,1.8099999,11
2,Men,Married,0,3.3599999,4
2,Men,Single,0,3.0899999,14
2,Women,Single,0,3.75,8
2,Women,Married,0,4.54,10
2,Women,Single,0,1.63,6
2,Women,Married,0,3.0899999,2
2,Women,Single,0,3.6900001,4
2,Women,Single,0,2.1199999,2
2,Women,Single,0,2.26,3
2,Men,Married,1,4.29,2
2,Women,Married,1,1.74,4
2,Men,Married,2,2.96,8
2,Women,Single,0,2.5799999,5
2,Men,Married,1,4.54,10
2,Women,Single,0,4.6199999,12
2,Men,Married,1,4.29,13
2,Women,Single,0,4.54,13
2,Women,Married,0,3.5899999,0
2,Women,Single,0,4.29,5
2,Men,Single,0,3.6900001,26
2,Women,Single,0,3.21,0
2,Women,Married,1,3.47,11
2,Men,Single,0,4.54,37
2,Men,Married,0,1.95,4
2,Men,Married,2,2.96,46
2,Men,Married,1,4.54,53
2,Men,Married,0,3.4000001,9
2,Men,Married,0,2.0999999,4
2,Men,Married,2,4.29,8
2,Women,Single,0,3.75,5
2,Women,Single,0,2.05,2
2,Men,Married,1,2.5,2
2,Women,Married,1,4.6199999,17
2,Women,Married,0,1.8,10
2,Women,Single,0,3.0899999,0
2,Men,Single,0,4.29,10
2,Men,Married,2,1.8,6
2,Women,Married,0,3.5899999,5
2,Men,Married,0,2.76,3
2,Men,Married,0,4.1399999,16
2,Men,Single,0,3.5899999,3
2,Women,Single,0,4.54,12
2,Women,Married,0,.92000002,0
2,Women,Single,0,4.29,15
2,Men,Married,1,2.3900001,4
2,Men,Married,0,1.1799999,0
2,Men,Married,2,4.54,2
2,Women,Married,2,3.8499999,47
2,Men,Married,2,2.96,21
2,Women,Married,0,3.3599999,8
2,Women,Married,0,3.1900001,5
2,Women,Married,1,3.6900001,15
2,Men,Married,0,1.63,8
2,Men,Married,0,1.72,1
2,Women,Married,0,2.5799999,5
2,Men,Married,0,1.52,5
2,Men,Single,0,2.8599999,4
2,Women,Married,2,1.22,4
2,Women,Single,0,2.54,4
2,Women,Single,0,3.3599999,4
2,Men,Married,2,2.8699999,20
2,Men,Married,1,3.1500001,7
2,Women,Single,0,4.6199999,14
2,Men,Married,1,1.76,7
2,Men,Married,1,1.52,3
2,Men,Single,0,4.29,5
2,Men,Married,2,4.29,10
2,Men,Married,1,2.5599999,5
2,Men,Single,0,4.54,29
2,Women,Married,0,1.86,5
2,Women,Single,0,4.29,1
2,Women,Married,0,3.9200001,7
2,Men,Single,0,2.26,2
2,Men,Married,1,4.29,14
2,Women,Married,1,3.6900001,10
2,Men,Married,2,1.97,0
2,Men,Married,1,3.1900001,10
2,Women,Single,0,4.54,5
2,Men,Single,0,4.29,25
2,Men,Married,0,2.8299999,1
2,Men,Married,3,4.3400002,7
2,Women,Single,0,3.3599999,3
2,Women,Single,0,3.4100001,14
2,Women,Single,0,2.8599999,3
2,Men,Married,0,4.29,24
2,Men,Married,1,2.76,8
2,Women,Married,0,3.75,0
2,Men,Married,1,4.29,12
2,Men,Married,2,2.21,12
2,Men,Married,0,3.54,21
2,Men,Married,0,2.96,2
2,Women,Married,0,2.1199999,2
2,Men,Single,0,2.3900001,4
2,Women,Single,0,3.1900001,5
2,Women,Single,0,1.97,8
2,Women,Married,0,4.54,9
2,Women,Single,0,2.55,36
2,Men,Married,0,1.76,0
2,Men,Married,2,4.3400002,17
2,Women,Married,0,2.52,16
2,Men,Married,1,2.5599999,7
2,Men,Single,0,4.54,10
2,Women,Married,0,1.4,0
2,Men,Married,2,3.3199999,27
2,Men,Married,0,2.51,5
2,Women,Married,2,2.5799999,3
2,Men,Married,2,3.54,16
2,Men,Married,0,4.54,11
2,Men,Single,0,4.29,17
2,Men,Married,0,4.3400002,5
2,Women,Married,1,3.47,4
2,Women,Single,0,3.47,5
2,Men,Married,2,2.5,5
2,Men,Married,3,2,8
2,Men,Single,0,3.9200001,10
2,Women,Married,0,4.6199999,23
2,Women,Single,0,3.0899999,6
2,Women,Single,0,2.3199999,4
2,Women,Single,0,4.29,21
2,Women,Single,0,3.3599999,7
2,Men,Married,0,3.6900001,5
2,Men,Married,0,4.29,17
2,Women,Single,0,3.5899999,11
2,Men,Married,0,4.29,13
2,Women,Married,1,3.21,7
2,Women,Single,0,2.26,8
2,Men,Married,0,2.5,0
2,Men,Single,0,2.26,3
2,Women,Married,0,3.75,4
2,Women,Single,0,4.29,4
2,Men,Married,0,3.1900001,11
2,Women,Married,1,2,7
2,Women,Married,0,3.0899999,1
2,Women,Married,1,3.5899999,2
2,Women,Married,0,4.3400002,11
2,Women,Single,0,2.8699999,9
2,Men,Married,0,2.0999999,2
2,Women,Single,0,2.8299999,26
2,Men,Married,1,2.0999999,3
2,Men,Married,1,1.78,1
2,Men,Married,0,2.51,0
2,Men,Married,1,2.52,10
2,Women,Married,1,3.4000001,4
2,Women,Married,1,3.0899999,3
2,Men,Married,0,4.29,13
2,Women,Married,0,2.96,8
2,Women,Married,2,3.5899999,11
2,Men,Single,0,4.54,55
2,Women,Married,0,3.5899999,11
2,Men,Married,1,3.4200001,3
2,Women,Married,1,4.29,4
2,Women,Single,0,3.1900001,4
2,Women,Married,1,4.29,11
2,Men,Married,0,4.6199999,3
2,Men,Married,2,1.86,6
2,Men,Married,0,4.6199999,8
2,Women,Married,2,4.54,48
2,Women,Married,0,3.75,8
2,Men,Married,0,1.76,0
2,Women,Married,0,3.4100001,31
2,Men,Married,0,2.55,24
2,Men,Married,1,1.25,2
2,Women,Married,0,1.48,9
2,Women,Married,0,2.8299999,3
2,Women,Married,0,4.29,6
2,Women,Single,0,3.1900001,10
2,Women,Single,0,1.4,0
2,Women,Married,2,3.21,2
2,Men,Single,0,4.6199999,9
2,Women,Married,0,1.45,7
2,Women,Married,1,3.3399999,4
2,Women,Single,0,4.54,23
2,Men,Married,2,4.29,30
2,Women,Single,0,3.6900001,7
2,Women,Single,0,2.5799999,2
2,Women,Married,1,4.54,7
2,Men,Married,1,4.54,6
2,Men,Single,0,4.29,9
3,Women,Single,0,4.29,12
3,Women,Single,0,3.75,0
3,Men,Single,0,4.6199999,8
3,Men,Married,2,4.54,31
3,Men,Married,0,3.0899999,5
3,Men,Married,1,1.95,14
3,Women,Married,1,3.5899999,3
3,Men,Married,1,2.6099999,5
3,Men,Single,0,2.8699999,12
3,Men,Single,0,4.29,30
3,Women,Married,0,3.4100001,19
3,Women,Married,1,2.3199999,5
3,Women,Married,0,2.1199999,3
3,Men,Married,0,4.54,37
3,Men,Married,0,2.96,8
3,Men,Single,0,2.8699999,12
3,Men,Married,0,2.3199999,4
3,Men,Married,2,1.8,6
3,Women,Single,0,2.3900001,11
3,Women,Married,1,4.6199999,14
3,Women,Single,0,4.29,10
3,Men,Married,0,4.54,5
3,Men,Single,0,3.5899999,16
3,Men,Married,2,4.29,0
3,Men,Married,1,2.96,5
3,Men,Married,2,4.29,25
3,Men,Married,1,4.29,18
3,Men,Married,1,2.54,6
3,Men,Single,0,3.9200001,0
3,Men,Single,0,2.3199999,8
3,Women,Single,0,4.6199999,22
3,Women,Married,0,3.75,6
3,Men,Married,2,1.95,3
3,Men,Married,1,1.8,4
3,Men,Married,0,2.76,8
3,Men,Single,0,3.5899999,7
3,Men,Married,0,4.25,20
3,Men,Married,2,2.8299999,7
3,Women,Single,0,2.52,4
3,Women,Married,0,1.1799999,0
3,Women,Married,0,3.3599999,11
3,Women,Married,0,4.29,21
3,Women,Married,1,4.6199999,49
3,Men,Single,0,2.8299999,8
3,Men,Married,0,3.6900001,24
3,Men,Married,0,2.26,12
3,Women,Single,0,2.05,5
3,Men,Married,1,4.29,19
3,Men,Married,0,1.42,3
3,Women,Married,2,1.89,16
3,Men,Married,0,3.6900001,26
3,Women,Married,0,2.96,22
3,Women,Married,1,1.86,1
3,Women,Married,0,2.26,6
3,Men,Married,0,4.29,15
3,Women,Married,0,3.1500001,4
3,Men,Married,0,2.6099999,0
3,Women,Single,0,4.54,3
3,Men,Married,1,2.21,10
3,Men,Married,0,1.78,0
3,Men,Married,1,3.6199999,5
3,Men,Married,0,3.9200001,0
3,Women,Married,0,4.6199999,10
3,Men,Married,0,2.6099999,5
3,Women,Married,1,3.3599999,3
3,Women,Married,0,3.6900001,12
3,Men,Married,0,3.47,14
3,Men,Married,0,1.25,4
3,Men,Married,0,4.6199999,18
3,Men,Married,1,3.5899999,14
3,Women,Single,0,3.3599999,2
3,Men,Married,0,4.29,38
3,Men,Single,0,3.54,12
3,Men,Married,2,2.5799999,2
3,Men,Single,0,1.52,3
3,Men,Married,0,3.47,8
3,Women,Married,0,4.6199999,14
3,Men,Single,0,3.54,25
3,Men,Married,2,2.0999999,4
3,Men,Married,2,1.38,8
3,Men,Married,1,3.0899999,5
3,Men,Married,3,2.8599999,3
3,Women,Single,0,4.29,5
3,Women,Married,1,1.22,3
4,Men,Married,0,2.8299999,5
4,Women,Married,0,4.54,16
4,Men,Married,0,4.29,22
4,Men,Single,0,4.29,7
4,Men,Married,0,3.54,9
4,Men,Single,0,2.52,6
4,Women,Single,0,1.4,3
4,Women,Married,0,4.3400002,6
4,Women,Married,1,2.51,2
4,Men,Married,0,4.29,2
4,Men,Married,1,2.96,0
4,Men,Single,0,3.8499999,47
4,Men,Single,0,4.54,5
4,Women,Married,0,3.4000001,5
4,Men,Single,0,3.4100001,21
4,Men,Married,1,2.96,57
4,Women,Married,0,3.54,5
4,Men,Married,2,1.72,2
4,Men,Married,2,2.8599999,15
4,Men,Married,2,4.54,66
4,Men,Married,1,1.76,11
4,Men,Married,2,1.86,15
4,Men,Married,0,3.47,4
4,Men,Single,0,3.4100001,7
4,Men,Married,0,1.8099999,10
4,Men,Married,2,2.05,13
4,Men,Single,0,4.6199999,18
4,Women,Married,0,2.26,3
4,Men,Married,1,1.86,47
4,Women,Married,1,4.29,4
4,Men,Married,2,3.54,2
4,Men,Married,0,4.29,30
4,Men,Married,0,2.54,11
4,Women,Married,0,4.25,13
4,Women,Single,0,2.5,10
4,Women,Married,1,3.54,12
4,Women,Married,0,3.1900001,8
4,Men,Married,2,4.54,21
4,Women,Single,0,2.8599999,39
4,Women,Married,0,2.5799999,14
4,Women,Married,0,1.28,4
4,Women,Married,0,3.21,14
4,Women,Single,0,2.8699999,6
4,Women,Single,0,3.3399999,11
